study_id,vocabulary_type_step1,vocabulary_type_step2,midpoint,slope,upper_limit,AIC_LL.3,AIC_Cubic,AIC_Quad,AIC_Lin,cumulative_exp_Eng,cumulative_exp_Fre,end_age,lang_status,dominant_lang,exposure_balance,exposure_percent,n_months,age,starting_age,eng_completed,fr_completed,num_datapts,vocabulary_score,num_missing_datapts,total,dominance,words_learned
S079,word,word,25.030917227222034,7.318042495920948,771.0627791242687,92.17962014269747,93.8541600745534,103.72537607437832,103.93233634095888,94,6,30,eng_mono,eng_dom,6,NA,15,30.363440860215057,16.131182795698926,TRUE,NA,10,608,5,680,NA,84.3987606506585
S079,concept,concept,25.030917227222034,7.318042495920948,771.0627791242687,92.17962014269747,93.8541600745534,103.72537607437832,103.93233634095888,94,6,30,eng_mono,eng_dom,6,NA,15,30.363440860215057,16.131182795698926,TRUE,NA,10,608,5,680,NA,84.3987606506585
S081,English,single,22.284204952217436,21.955717543947408,641.2692905509906,126.9568603322906,164.16541038593775,181.737032901718,181.79067670682232,96.89999999999999,3.1,30,eng_mono,eng_dom,3.1,96.89999999999999,15,30.16236559139785,16.164516129032258,TRUE,NA,15,655,0,680,dominant,119.35000000000005
S081,word,word,22.284204952217436,21.955717543947408,641.2692905509906,126.9568603322906,164.16541038593775,181.737032901718,181.79067670682232,96.89999999999999,3.1,30,eng_mono,eng_dom,3.1,NA,15,30.16236559139785,16.164516129032258,TRUE,NA,15,655,0,680,NA,119.35000000000005
S081,concept,concept,22.284204952217436,21.955717543947408,641.2692905509906,126.9568603322906,164.16541038593775,181.737032901718,181.79067670682232,96.89999999999999,3.1,30,eng_mono,eng_dom,3.1,NA,15,30.16236559139785,16.164516129032258,TRUE,NA,15,655,0,680,NA,119.35000000000005
S087,French,single,19.29330081993171,12.379307650121472,648.8972242558303,118.96166388367372,121.24871863849664,143.13960984332127,180.78981063671483,0.7000000000000001,99.3,30,fr_mono,fr_dom,0.7000000000000001,99.3,15,30.961290322580645,16.870967741935484,NA,TRUE,15,655,0,664,dominant,95.97523219814232
S087,word,word,19.29330081993171,12.379307650121472,648.8972242558303,118.96166388367372,121.24871863849664,143.13960984332127,180.78981063671483,0.7000000000000001,99.3,30,fr_mono,fr_dom,0.7000000000000001,NA,15,30.961290322580645,16.870967741935484,NA,TRUE,15,655,0,664,NA,95.97523219814232
S087,concept,concept,19.29330081993171,12.379307650121472,648.8972242558303,118.96166388367372,121.24871863849664,143.13960984332127,180.78981063671483,0.7000000000000001,99.3,30,fr_mono,fr_dom,0.7000000000000001,NA,15,30.961290322580645,16.870967741935484,NA,TRUE,15,655,0,664,NA,95.97523219814232
S088,English,single,22.571919031397375,10.068027485442787,651.3179159079067,108.04062271447822,115.71396137901536,126.22711965403236,125.35110144836716,63.154587348135735,36.845412651864265,31,bilingual,eng_dom,36.845412651864265,63.154587348135735,15,30.329032258064515,16.29032258064516,TRUE,TRUE,12,635,3,680,dominant,52.37163814180914
S088,French,single,23.269227620754553,12.879700911033058,491.5118750554951,89.38545424489598,100.85534444302924,117.4128825757116,115.43442733603976,63.154587348135735,36.845412651864265,31,bilingual,eng_dom,36.845412651864265,36.845412651864265,15,30.329032258064515,16.29032258064516,TRUE,TRUE,12,482,4,664,nondominant,86.25916870415624
